Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,No,Travel_Rarely,1396.0,Sales,10,3,Life Sciences,1,749,3,Male,99.0,3,1,Sales Representative,3,Single,2642,2755,1.0744127889478357,Y,No,11,3,3,80,0,1,6,3,1,0,0,0
36,Yes,Travel_Rarely,1456.0,Sales,13,5,Marketing,1,1733,2,Male,96.0,2,2,Sales Executive,1,Divorced,6134,8658,8.028973433689359,Y,Yes,13,3,2,80,3,16,3,3,2,2,2,2
39,No,Travel_Rarely,1387.0,Research & Development,10,5,Medical,1,1618,2,Male,76.0,3,2,Manufacturing Director,1,Married,5377,3835,7.0533205903686325,Y,No,13,3,4,80,3,10,3,3,7,7,7,7
44,No,Travel_Rarely,,Research & Development,4,2,Life Sciences,1,1288,3,Male,92.0,4,5,Manager,1,Divorced,19190,17477,12.147363428953424,Y,No,14,3,4,80,2,26,4,2,25,9,14,13
35,No,Non-Travel,1097.0,Research & Development,11,2,Medical,1,70,3,Male,79.0,2,3,Healthcare Representative,1,Married,9884,8302,3.976452281145571,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
44,No,Non-Travel,981.0,Research & Development,5,3,Life Sciences,1,1471,3,Male,90.0,2,1,Laboratory Technician,3,Single,3162,7973,4.21746125901033,Y,No,14,3,4,80,0,7,5,3,5,2,0,3
47,No,Travel_Rarely,,Sales,2,4,Life Sciences,1,925,4,Female,65.0,2,1,Sales Representative,4,Single,3294,13137,2.7421741425629715,Y,Yes,18,3,1,80,0,3,3,2,3,2,1,2
18,No,Non-Travel,1431.0,Research & Development,14,3,Medical,1,1839,2,Female,33.0,3,1,Research Scientist,3,Single,1514,8018,0.6543687418881999,Y,No,16,3,3,80,0,0,4,1,0,0,0,0
22,Yes,Travel_Frequently,,Research & Development,4,1,Technical Degree,1,593,3,Male,99.0,2,1,Laboratory Technician,3,Single,3894,9129,3.0575573094759907,Y,No,16,3,3,80,0,4,3,3,2,2,1,2
36,No,Non-Travel,845.0,Sales,1,5,Medical,1,479,4,Female,45.0,3,2,Sales Executive,4,Single,6653,15276,3.088720060903492,Y,No,15,3,2,80,0,7,6,3,1,0,0,0
36,No,Travel_Frequently,,Human Resources,2,1,Human Resources,1,1890,2,Male,94.0,2,2,Human Resources,4,Single,3886,4223,4.792368864641498,Y,No,21,4,4,80,0,10,2,2,10,1,0,8
35,No,Travel_Frequently,1199.0,Research & Development,18,4,Life Sciences,1,2049,3,Male,80.0,3,2,Healthcare Representative,3,Married,5689,24594,3.4126364921426293,Y,Yes,14,3,4,80,2,10,2,4,10,2,0,2
34,No,Travel_Rarely,,Sales,3,3,Other,1,1478,4,Male,81.0,1,2,Sales Executive,1,Single,4759,15891,8.773526416214686,Y,No,18,3,4,80,0,15,2,3,13,9,3,12
31,No,Travel_Rarely,1062.0,Research & Development,24,3,Medical,1,1252,3,Female,96.0,2,2,Healthcare Representative,1,Single,6812,17198,4.030936011918468,Y,No,19,3,2,80,0,10,2,3,10,9,1,8
43,No,Travel_Rarely,,Research & Development,6,3,Medical,1,1866,1,Female,,2,5,Manager,3,Married,19392,22539,9.767013823295486,Y,No,13,3,4,80,0,21,2,3,16,12,6,14
54,No,Travel_Rarely,584.0,Research & Development,22,5,Medical,1,1665,2,Female,91.0,3,4,Manager,3,Married,17426,18685,15.495968806402557,Y,No,25,4,3,80,1,36,6,3,10,8,4,7
48,No,Travel_Frequently,365.0,Research & Development,4,5,Medical,1,1644,3,Male,89.0,2,4,Manager,4,Married,15202,5602,8.879381784707812,Y,No,25,4,2,80,1,23,3,3,2,2,2,2
39,Yes,Travel_Frequently,,Research & Development,2,3,Life Sciences,1,1127,1,Male,84.0,3,4,Healthcare Representative,4,Divorced,12169,13547,9.996119443579211,Y,No,11,3,4,80,3,21,4,3,18,7,11,5
38,No,Travel_Frequently,,Research & Development,2,3,Medical,1,1675,4,Female,,2,1,Laboratory Technician,2,Single,2440,23826,0.9293993179942555,Y,No,22,4,2,80,0,4,3,3,4,3,3,3
19,Yes,Non-Travel,,Research & Development,10,3,Medical,1,1248,1,Female,96.0,2,1,Research Scientist,2,Single,1859,6148,0.36669453310385236,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0
27,No,Travel_Rarely,618.0,Research & Development,4,3,Life Sciences,1,933,2,Female,76.0,3,1,Research Scientist,3,Single,2318,17808,0.584057852314563,Y,No,19,3,3,80,0,1,2,3,1,1,0,0
21,No,Travel_Rarely,391.0,Research & Development,15,2,Life Sciences,1,30,3,Male,96.0,3,1,Research Scientist,4,Single,1232,19281,-1.2650338619123835,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
39,No,Travel_Rarely,,Sales,4,4,Life Sciences,1,182,4,Female,47.0,2,2,Sales Executive,3,Married,5902,14590,9.465671920088607,Y,No,14,3,3,80,1,17,1,4,15,11,5,9
29,No,Travel_Rarely,,Human Resources,6,1,Medical,1,1865,4,Male,87.0,2,1,Human Resources,2,Married,2804,15434,0.9152467882212707,Y,No,11,3,4,80,0,1,3,3,1,0,0,0
33,No,Non-Travel,,Sales,2,3,Marketing,1,1756,4,Female,62.0,3,2,Sales Executive,2,Single,5147,10697,6.075986478179969,Y,No,15,3,4,80,0,13,2,2,11,7,1,7
58,Yes,Travel_Rarely,289.0,Research & Development,2,3,Technical Degree,1,977,4,Male,51.0,3,1,Research Scientist,3,Single,2479,26227,2.2990492109692795,Y,No,24,4,1,80,0,7,4,3,1,0,0,0
42,No,Travel_Rarely,,Research & Development,7,4,Medical,1,1292,2,Female,78.0,4,2,Research Scientist,2,Married,2372,5628,9.907269086896608,Y,Yes,16,3,4,80,0,18,2,3,1,0,0,0
40,Yes,Travel_Rarely,1329.0,Research & Development,7,3,Life Sciences,1,1649,1,Male,73.0,3,1,Laboratory Technician,1,Single,2166,3339,6.316335072344861,Y,Yes,14,3,2,80,0,10,3,1,4,2,0,3
38,No,Travel_Rarely,,Sales,14,3,Life Sciences,1,1582,3,Male,80.0,3,2,Sales Executive,2,Married,9924,12355,3.8375952917552727,Y,No,11,3,4,80,1,10,3,3,9,8,7,7
36,No,Travel_Rarely,,Research & Development,5,4,Life Sciences,1,1651,2,Female,42.0,3,3,Healthcare Representative,1,Married,8008,22792,4.6201093874426515,Y,No,12,3,3,80,2,9,6,3,3,2,0,2
33,No,Non-Travel,1038.0,Sales,8,1,Life Sciences,1,1044,2,Female,88.0,2,1,Sales Representative,4,Single,2342,21437,3.595623683576741,Y,No,19,3,4,80,0,3,2,2,2,2,2,2
30,Yes,Travel_Frequently,448.0,Sales,12,4,Life Sciences,1,648,2,Male,74.0,2,1,Sales Representative,1,Married,2033,14470,-0.1151470752775664,Y,No,18,3,3,80,1,1,2,4,1,0,0,0
30,No,Travel_Rarely,288.0,Research & Development,2,3,Life Sciences,1,117,3,Male,99.0,2,2,Healthcare Representative,4,Married,4152,15830,4.17207056481768,Y,No,19,3,1,80,3,11,3,3,11,10,10,8
41,No,Travel_Rarely,314.0,Human Resources,1,3,Human Resources,1,734,4,Male,59.0,2,5,Manager,3,Married,19189,19562,10.143643501093305,Y,No,12,3,2,80,1,22,3,3,22,7,2,10
32,No,Non-Travel,,Research & Development,1,4,Technical Degree,1,1574,4,Male,62.0,3,2,Research Scientist,1,Married,4087,25174,4.102122345892854,Y,No,14,3,2,80,1,9,3,2,6,5,1,2
25,No,Travel_Rarely,,Sales,3,1,Other,1,879,3,Male,98.0,3,2,Sales Executive,1,Married,4194,14363,4.699210391628937,Y,Yes,18,3,4,80,0,5,3,3,5,3,0,3
25,Yes,Travel_Rarely,867.0,Sales,19,2,Marketing,1,952,3,Male,36.0,2,1,Sales Representative,2,Married,2413,18798,0.16188958638003814,Y,Yes,18,3,3,80,3,1,2,3,1,0,0,0
31,No,Travel_Frequently,,Research & Development,24,1,Technical Degree,1,1736,4,Female,30.0,3,2,Manufacturing Director,4,Single,5238,6670,3.6005435456841237,Y,No,20,4,4,80,0,9,3,2,5,4,1,4
